Dataset Index,Size,Time (s)
129,6550,0.003967750002630055
130,6600,0.003940208000130951
131,6650,0.004512667015660554
132,6700,0.009675084031186998
133,6750,0.00456812500488013
134,6800,0.005521750019397587
135,6850,0.004343416017945856
136,6900,0.004753332992549986
137,6950,0.004367207991890609
138,7000,0.004245791002176702
139,7050,0.005239458987489343
140,7100,0.004093500028830022
141,7150,0.0055864580208435655
142,7200,0.009395709028467536
143,7250,0.007644374971278012
144,7300,0.004739583004266024
145,7350,0.0046794580412097275
146,7400,0.010007791977841407
147,7450,0.0048342919908463955
148,7500,0.008580041991081089
149,7550,0.007104417018126696
150,7600,0.009223582979757339
151,7650,0.005374458967708051
152,7700,0.009242291969712824
153,7750,0.005603416997473687
154,7800,0.006601667031645775
155,7850,0.0050037080072797835
156,7900,0.005162874993402511
157,7950,0.005133792001288384
158,8000,0.005577292002271861
159,8050,0.0050022919895127416
160,8100,0.008088083006441593
161,8150,0.009597833035513759
162,8200,0.008387541980482638
163,8250,0.008886582974810153
164,8300,0.005347082973457873
165,8350,0.006865791976451874
166,8400,0.0074346670298837125
167,8450,0.0071653330232948065
168,8500,0.010180916986428201
169,8550,0.007085874967742711
170,8600,0.007106792007107288
171,8650,0.005512416013516486
172,8700,0.007762499968521297
173,8750,0.005802541971206665
174,8800,0.012501167017035186
175,8850,0.006228832993656397
176,8900,0.007364624994806945
177,8950,0.007898417010437697
178,9000,0.007923749973997474
179,9050,0.006145625025965273
180,9100,0.006854332983493805
181,9150,0.006137499993201345
182,9200,0.008177625015377998
183,9250,0.01169687503715977
184,9300,0.006167582992929965
185,9350,0.010338833963032812
186,9400,0.006277000007685274
187,9450,0.0074986249674111605
188,9500,0.007765291957184672
189,9550,0.0113927919883281
190,9600,0.007376833003945649
191,9650,0.009965250035747886
192,9700,0.009935374953784049
193,9750,0.009951417043339461
194,9800,0.008235040993895382
195,9850,0.008031291014049202
196,9900,0.009726749965921044
197,9950,0.010521834017708898
198,10000,0.011569208989385515
199,10050,0.008612708013970405
